title,link,citation,summary,resource_title,file_format
Review of deep learning approaches for the segmentation of multiple sclerosis lesions on brain MRI,https://www.frontiersin.org/articles/10.3389/fninf.2020.610967/full,60,"C Zeng, L Gu, Z Liu, S Zhao - Frontiers in Neuroinformatics, 2020 - frontiersin.org",frontiersin.org,HTML
Recent advances in the longitudinal segmentation of multiple sclerosis lesions on magnetic resonance imaging: a review,https://link.springer.com/article/10.1007/s00234-022-03019-3,10,"M Diaz-Hurtado, E Martínez-Heras, E Solana… - Neuroradiology, 2022 - Springer",,
Applications of deep learning techniques for automated multiple sclerosis detection using magnetic resonance imaging: A review,https://www.sciencedirect.com/science/article/pii/S0010482521004911,120,"A Shoeibi, M Khodatars, M Jafari, P Moridian… - Computers in Biology …, 2021 - Elsevier",arxiv.org,PDF
Multiple sclerosis lesion analysis in brain magnetic resonance images: techniques and clinical applications,https://ieeexplore.ieee.org/abstract/document/9714822/,22,"Y Ma, C Zhang, M Cabezas, Y Song… - IEEE Journal of …, 2022 - ieeexplore.ieee.org",arxiv.org,PDF
Multiple sclerosis diagnosis using machine learning and deep learning: Challenges and opportunities,https://www.mdpi.com/1424-8220/22/20/7856,17,"N Aslam, IU Khan, A Bashamakh, FA Alghool… - Sensors, 2022 - mdpi.com",mdpi.com,PDF
Segmentation and Classification of Multiple Sclerosis Using Deep Learning Networks: A Review,https://link.springer.com/chapter/10.1007/978-981-99-0609-3_29,,"VP Nasheeda, V Rajangam - International Conference on Computational …, 2022 - Springer",,
Multiple Sclerosis Segmentation using Deep Learning Models: Comparative Study,https://ieeexplore.ieee.org/abstract/document/9805983/,1,"A Alrabai, A Echtioui, AB Hamida - 2022 6th International …, 2022 - ieeexplore.ieee.org",researchgate.net,PDF
Machine learning approaches in study of multiple sclerosis disease through magnetic resonance images,https://www.frontiersin.org/articles/10.3389/fimmu.2021.700582/full,21,"F Moazami, A Lefevre-Utile, C Papaloukas… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
Emerging deep learning techniques using magnetic resonance imaging data applied in multiple sclerosis and clinical isolated syndrome patients,https://www.spandidos-publications.com/10.3892/etm.2021.10583,7,"EE Kontopodis, E Papadaki… - Experimental and …, 2021 - spandidos-publications.com",spandidos-publications.com,HTML
The emerging role of artificial intelligence in multiple sclerosis imaging,https://journals.sagepub.com/doi/abs/10.1177/1352458520966298,34,"HMR Afzal, S Luo, S Ramadan… - Multiple Sclerosis …, 2022 - journals.sagepub.com",,
A survey of deep learning methods for multiple sclerosis identification using brain MRI images,https://link.springer.com/article/10.1007/s00521-022-07099-3,11,"M Sah, C Direkoglu - Neural Computing and Applications, 2022 - Springer",,
Automated MS lesion detection and segmentation in clinical workflow: a systematic review.,https://www.sciencedirect.com/science/article/pii/S2213158223001821,1,"F Spagnolo, A Depeursinge, S Schädelin, A Akbulut… - NeuroImage: Clinical, 2023 - Elsevier",sciencedirect.com,HTML
"Cortical lesions, central vein sign, and paramagnetic rim lesions in multiple sclerosis: Emerging machine learning techniques and future avenues",https://www.sciencedirect.com/science/article/pii/S2213158222002704,14,"F La Rosa, M Wynen, O Al-Louzi, ES Beck… - NeuroImage: Clinical, 2022 - Elsevier",sciencedirect.com,HTML
Artificial intelligence in the diagnosis of multiple sclerosis: A systematic review,https://www.sciencedirect.com/science/article/pii/S2211034822001882,14,"F Nabizadeh, S Masrouri, E Ramezannezhad… - Multiple Sclerosis and …, 2022 - Elsevier",,
Quantifying deep grey matter atrophy using automated segmentation approaches: A systematic review of structural MRI studies,https://www.sciencedirect.com/science/article/pii/S1053811919305993,23,"AM Pagnozzi, J Fripp, SE Rose - Neuroimage, 2019 - Elsevier",,
Current review and next steps for artificial intelligence in multiple sclerosis risk research,https://www.sciencedirect.com/science/article/pii/S0010482521001311,11,"M Hartmann, N Fenton, R Dobson - Computers in Biology and Medicine, 2021 - Elsevier",qmul.ac.uk,DOC
Machine Learning in Multiple Sclerosis,https://link.springer.com/protocol/10.1007/978-1-0716-3195-9_28,,"B Jasperse, F Barkhof - Machine Learning for Brain Disorders, 2023 - Springer",springer.com,HTML
A systematic review of the application of machine-learning algorithms in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S217358082200075X,7,"M Vázquez-Marrufo, E Sarrias-Arrabal… - Neurología (English …, 2022 - Elsevier",sciencedirect.com,HTML
