title,link,citation,summary,resource_title,file_format
Segmentation of Multiple Sclerosis in MR images by Deep Learning,https://dspace.univ-bba.dz/xmlui/bitstream/handle/123456789/1657/memoire_master.pdf?sequence=1,1,"L BENHIZIA, S BENBATATA - 2021 - dspace.univ-bba.dz",univ-bba.dz,PDF
Fully automated longitudinal segmentation of new or enlarged multiple sclerosis lesions using 3D convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S2213158220302825,41,"J Krüger, R Opfer, N Gessert, AC Ostwaldt… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
ALL-Net: Anatomical information lesion-wise loss function integrated into neural network for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S2213158221002989,22,"H Zhang, J Zhang, C Li, EM Sweeney… - NeuroImage: Clinical, 2021 - Elsevier",sciencedirect.com,HTML
Multiple sclerosis lesions segmentation using attention-based CNNs in FLAIR images,https://ieeexplore.ieee.org/abstract/document/9766141/,11,"M Sadeghibakhi, H Pourreza… - IEEE Journal of …, 2022 - ieeexplore.ieee.org",ieee.org,PDF
Geometric loss for deep multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/9434085/,19,"H Zhang, J Zhang, R Wang, Q Zhang… - 2021 IEEE 18th …, 2021 - ieeexplore.ieee.org",arxiv.org,PDF
Multiple sclerosis lesion segmentation in brain MRI using inception modules embedded in a convolutional neural network,https://www.hindawi.com/journals/jhe/2021/4138137/,15,"SU Ansari, K Javed, SM Qaisar, R Jillani… - Journal of Healthcare …, 2021 - hindawi.com",hindawi.com,HTML
Framework to segment and evaluate multiple sclerosis lesion in MRI slices using VGG-UNet,https://www.hindawi.com/journals/cin/2022/4928096/,12,"S Krishnamoorthy, Y Zhang, S Kadry… - Computational intelligence …, 2022 - hindawi.com",hindawi.com,HTML
Multiple sclerosis lesion segmentation with tiramisu and 2.5 d stacked slices,https://link.springer.com/chapter/10.1007/978-3-030-32248-9_38,68,"H Zhang, AM Valcarcel, R Bakshi, R Chu… - … Image Computing and …, 2019 - Springer",nih.gov,HTML
Multiple sclerosis lesion synthesis in MRI using an encoder-decoder U-NET,https://ieeexplore.ieee.org/abstract/document/8645628/,51,"M Salem, S Valverde, M Cabezas, D Pareto… - IEEE …, 2019 - ieeexplore.ieee.org",ieee.org,PDF
Quantification of brain lesions in multiple sclerosis patients using segmentation by convolutional neural networks,https://ieeexplore.ieee.org/abstract/document/9313244/,4,"M de Oliveira, FB Santinelli… - 2020 IEEE …, 2020 - ieeexplore.ieee.org",,
Multiple sclerosis lesion segmentation-a survey of supervised cnn-based methods,https://link.springer.com/chapter/10.1007/978-3-030-72084-1_2,21,"H Zhang, I Oguz - … : Glioma, Multiple Sclerosis, Stroke and Traumatic …, 2021 - Springer",arxiv.org,PDF
Detection of multiple sclerosis using deep learning,https://ieeexplore.ieee.org/abstract/document/9544601/,7,"S Al Jannat, T Hoque, NA Supti… - 2021 Asian conference …, 2021 - ieeexplore.ieee.org",bracu.ac.bd,PDF
Deep learning of brain lesion patterns and user-defined clinical and MRI features for predicting conversion to multiple sclerosis from clinically isolated syndrome,https://www.tandfonline.com/doi/abs/10.1080/21681163.2017.1356750,46,"Y Yoo, LYW Tang, DKB Li, L Metz, S Kolind… - Computer Methods in …, 2019 - Taylor & Francis",,
Automatic segmentation of the choroid plexuses: Method and validation in controls and patients with multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158223000578,6,"A Yazdan-Panah, M Schmidt-Mengin… - NeuroImage: Clinical, 2023 - Elsevier",sciencedirect.com,HTML
Deep learning for predicting enhancing lesions in multiple sclerosis from noncontrast MRI,https://pubs.rsna.org/doi/abs/10.1148/radiol.2019191061,69,"PA Narayana, I Coronado, SJ Sujit, JS Wolinsky… - Radiology, 2020 - pubs.rsna.org",rsna.org,PDF
Boosting multiple sclerosis lesion segmentation through attention mechanism,https://www.sciencedirect.com/science/article/pii/S0010482523004869,7,"A Rondinella, E Crispino, F Guarnera, O Giudice… - Computers in Biology …, 2023 - Elsevier",sciencedirect.com,HTML
Towards broader generalization of deep learning methods for multiple sclerosis lesion segmentation,,6,"RA Kamraoui, VT Ta, T Tourdias, B Mansencal… - arXiv preprint arXiv …, 2020",,
