title,url,year,cited_by,publisher,first_author,authors,query
UML 2 toolkit,https://books.google.com/books?hl=en&lr=&id=jEXnzbE_OooC&oi=fnd&pg=PR5&dq=uml&ots=k7Po2sAnnX&sig=YAJq1olYDs2T6-a-Y38Maf0vbYE,2003,1112,books.google.com,HE Eriksson,"HE Eriksson, M Penker, B Lyons, D Fado ",uml
Modeling with UML,https://link.springer.com/content/pdf/10.1007/978-3-319-33933-7.pdf,2016,219,Springer,B Rumpe ,B Rumpe ,uml
UML 2.0 in a Nutshell,https://books.google.com/books?hl=en&lr=&id=Xg8wLPmt5CMC&oi=fnd&pg=PP10&dq=uml&ots=EzOc1PepaI&sig=C6az6x0OehbKeACoJmfkdvcg3vI,2005,617,books.google.com,D Pilone,"D Pilone, N Pitman ",uml
Business modeling with UML,http://www.utm.mx/~caff/poo2/Business%20Modeling%20with%20UML.pdf,2000,2147,utm.mx,HE Eriksson,"HE Eriksson, M Penker",uml
Learning UML 2.0,https://books.google.com/books?hl=en&lr=&id=BUKbAgAAQBAJ&oi=fnd&pg=PT4&dq=uml&ots=wiaXLhk4ac&sig=nETAy5-TUWvyszP3bTL2a46YsIY,2006,616,books.google.com,R Miles,"R Miles, K Hamilton ",uml
How UML is used,https://dl.acm.org/doi/abs/10.1145/1125944.1125949,2006,595,dl.acm.org,B Dobing,"B Dobing, J Parsons",uml
UML in practice,https://ieeexplore.ieee.org/abstract/document/6606618/,2013,402,ieeexplore.ieee.org,M Petre,M Petre,uml
UML for Real,https://link.springer.com/content/pdf/10.1007/b105972.pdf,2003,197,Springer,L Lavagno,"L Lavagno, G Martin, B Selic ",uml
Learning Uml,https://books.google.com/books?hl=en&lr=&id=voVyl2odec0C&oi=fnd&pg=PR11&dq=uml&ots=dzGKV4i28f&sig=v4LgBnELsvrt11eAOyhwrVVBhWM,2003,130,books.google.com,SS Alhir ,SS Alhir ,uml
Applying UML and patterns,http://sutlib2.sut.ac.th/sut_contents/H76936.pdf,1998,914,sutlib2.sut.ac.th,C Larman ,C Larman ,uml
UML-B: Formal modeling and design aided by UML,https://dl.acm.org/doi/abs/10.1145/1125808.1125811,2006,446,dl.acm.org,C Snook,"C Snook, M Butler",uml
Save,javascript:void(0),2003,375,John Wiley & Sons,T Pender ,T Pender ,uml
Empirical evidence about the UML: a systematic literature review,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.1009,2011,196,Wiley Online Library,D Budgen,"D Budgen, AJ Burn, OP Brereton…",uml
