title,authors,year,link,snippet,citations
[LIVRE][B]Le langageSMS: étude d'un corpus informatisé à partir de l'enquête «Faites don de vosSMSà la science»,"C Fairon, JR Klein, S Paumier - 2007 - books.google.com",2007,https://books.google.com/books?hl=fr&lr=&id=Kt2703p2a84C&oi=fnd&pg=PA1&dq=SMS&ots=sO6XP89MOG&sig=Cu-2nt7G9PB9L-yNTUckc1xPDHI,"Pour la première fois, une étude scientifique propose une vision du «langageSMS».Refusant de se fier aux intuitions ou aux impressions, les auteurs de cette étude linguistique, …",0
SMSspam filtering: Methods and data,"SJ Delany,M Buckley,D Greene- Expert Systems with Applications, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0957417412002977,… We discuss similarities/differences between email andSMSspam filtering. ► We reviewrecent research inSMSspam filtering. ► We analyse recentSMSspam messages and make a …,0
Short Message Service (SMS): typologie et problématiques futures.,"R Panckhurst- Polyphonies, pour Michelle Lanvin, 2009 - hal.science",2009,https://hal.science/hal-02875841/,"Dans le cadre de cet article, nous focalisons nos recherches sur l'étude desSMS, pour endresser une typologie et réfléchir sur cette évolution afin de comprendre quelles peuvent être …",0
Simultaneous multislice (SMS) imaging techniques,"M Barth, F Breuer,PJ Koopmans… - Magnetic resonance …, 2016 - Wiley Online Library",2016,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.25897,"… Furthermore, for some implementationsSMStechniques can reduce radiofrequency (… ofSMSimaging is presented. In the Introduction, a historical overview is given of the history ofSMS…",0
"L'autonomie relationnelle:sms,«chat» et messagerie instantanée","C Metton - Ethnologie française, 2010 - cairn.info",2010,https://www.cairn.info/revue-ethnologie-francaise-2010-1-page-101.htm,"… sur un autre support : on envoie unsmspour se donner rendez-vous, dialoguer sur internetou appeler sur le fixe. Mais le plus souvent, lessmsvisent à maintenir un lien à caractère …",0
[PDF][PDF]Le langageSMS: révélateur d'1compétence,"C Fairon, JR Klein, S Paumier - Le français m'a tuer. Actes du …, 2006 - academia.edu",2006,https://www.academia.edu/download/3454312/le_langage_SMS_revelateur_d_1competence.pdf,"…SMSnous permet cependant de faire rapidement une observation importante : il n'existe pasde corpus deSMS… 'une partie restreinte du public utilisateur deSMS) et par ailleurs, elles …",0
Dialogkonstitution und Sequenzmuster in derSMS-und WhatsApp-Kommunikation,"K König - Travaux neuchâtelois de linguistique, 2015 - revue-tranel.ch",2015,https://www.revue-tranel.ch/article/view/2971,The paper contrasts a monological approach to the analysis of mobile phone text messagingwith a dialogical analysis which takes the interactive nature of text messaging as its starting …,0
[LIVRE][B]Langage etsms: Une étude internationale des pratiques actuelles,LA Cougnon- 2015 - books.google.com,,https://books.google.com/books?hl=fr&lr=&id=PUAwBwAAQBAJ&oi=fnd&pg=PP3&dq=SMS&ots=OeiT1q_3fX&sig=8kdxT3iyLkd2APSX3eMHl88Q70o,"Les nouvelles pratiques de l'écrit dans les technologies de la communication ont fait coulerbeaucoup d'encre: on s' 92; inquiète de les voir"" détruire la langue"". Pourtant, l'écritsmsn'est …",0
[HTML][HTML]Short message service (SMS) applications for disease prevention in developing countries,"C Déglise, LS Suggs, P Odermatt - Journal of medical Internet research, 2012 - jmir.org",2012,https://www.jmir.org/2012/1/e3/CachedSimilarJan,"…SMSin developing countries for disease prevention. For the purpose of this review,SMSreferred to all applications that usedSMS… that automatically shifted betweenSMSand general …",0
AnSMShistory,"A Taylor, J Vincent - Mobile world, 2005 - Springer",2005,https://link.springer.com/content/pdf/10.1007/1-84628-204-7.pdf#page=82,"… ofSMSamongst youth in UK and Europe, the motivation behind this chapter is to examinejust howSMS… To paint this picture, attention is limited to certain aspects of theSMShistory. …",0
SMS: The short message service,"J Brown, B Shipman,R Vetter- Computer, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4404822/,"Although it is a widely used communication mechanism for cell phone users,SMSis far morethan just a technology for teenage chat.SMStechnology evolved out of the global system …",0
"Sud4science, de l'acquisition d'un grand corpus deSMSen français à l'analyse de l'écritureSMS","R Panckhurst, C Détrie,C Lopez,C Moïse,M Roche… - Episteme, 2013 - hal.science",2013,https://hal.science/hal-00923618/,"Dans le cadre de cet article, on expose le déroulement du projet sud4science (www.sud4science.org).En premier lieu, on décrit la phase d'acquisition des données en provenance des …",0
[PDF][PDF]AplikasiSMSGateway,"S Sunardi,H Murti,H Listiyono- Dinamik, 2009 - unisbank.ac.id",2009,https://www.unisbank.ac.id/ojs/index.php/fti1/article/download/88/83,"…SMSsebagai informasinya. Pada sistem kerjaSMSgateway, telepon seluler penggunamengirimkansms…SMSakan diterima oleh telepon selulerSMSgateway yang kemudian akan …",0
The sociolinguistics ofSMS: An analysis ofSMSuse by a random sample of Norwegians,"R Ling- Mobile communications: Re-negotiation of the social …, 2005 - Springer",2005,https://link.springer.com/content/pdf/10.1007/1-84628-248-9_22.pdf,"…SMSmessages have several characteristics that make it useful for teens and … anSMStoa certain telephone number then it will come to that person, and not to another individual.SMS…",0
Les écritures et graphies inventives desSMSface aux graphies normées,"C Fairon, JR Klein - Le français aujourd'hui, 2010 - shs.cairn.info",2010,https://shs.cairn.info/article/LFA_170_0113?tab=texte-integral,… Même si l’on parle généralement dans ces travaux de « langageSMS» s’inscrivantparmi les nouvelles formes de l’écrit qui se sont imposées au travers des outils de …,0
Content basedSMSspam filtering,"JM Gómez Hidalgo, GC Bringas, EP Sánz… - Proceedings of the 2006 …, 2006 - dl.acm.org",2006,https://dl.acm.org/doi/abs/10.1145/1166160.1166191,"In the recent years, we have witnessed a dramatic increment in the volume of spam email.Other related forms of spam are increasingly revealing as a problem of importance, specially …",0
